brand,response_count,avg_word_count,blank_rate
DXC Technology,102,5.46078431372549,83
Infosys,150,6.48,75
Tata Consultancy Services (TCS),132,6.113636363636363,78
ServiceNow,175,5.8742857142857146,70.8
Wipro,119,6.117647058823529,80.2
Deloitte,210,6.442857142857143,65
Accenture,212,6.117924528301887,64.7
Microsoft (Azure & Copilot),296,6.746621621621622,50.7
McKinsey & Company,186,5.870967741935484,69
Google (Cloud & Gemini),268,6.354477611940299,55.3
IBM Consulting,297,6.64983164983165,50.5
HCL Technologies,120,7.025,80
Cognizant,333,5.93993993993994,44.5
EY,257,6.521400778210117,57.2
Amazon Web Services (AWS),312,6.278846153846154,48
Capgemini,134,6.656716417910448,77.7
